message,created_time,id
2016-02-23T05:00:39+0000,Whoever is letting her run needs to be exterminated.,498660340306871_498739556965616
2016-02-23T06:46:27+0000,no,498660340306871_498789753627263
2016-02-23T11:03:29+0000,See can't trust dem's they even steal from another democratic!,498660340306871_498832490289656
2016-02-23T12:21:13+0000,She is just as much a cheater as Cruz. At the very least the United States gets to see what the establishment in our country is all about. In my opinion this is why our country is in the situation it is in. Go Trump.,498660340306871_498852530287652
2016-02-23T12:34:29+0000,"This has to be the greatest joke in the history of our country. I can't believe picking the most powerful person in the world comes down to coin flips and drawing cards. Something is Def not right. If Trump makes it, We the people vote, winner takes all, period. So simple. Dellegates, super delligates, collegiate votes, flipping coins, dealing cards ect are just ways of corrupting the voting process. I hope he addresses voting reform and media reform along with everything else.",498660340306871_498855263620712
2016-02-23T12:51:51+0000,,498660340306871_498861410286764
2016-02-23T13:02:41+0000,"Proof the Democrats never evolved, cards really, is this the best they can do....",498660340306871_498864210286484
2016-02-23T13:43:26+0000,VOTE Donald J. Trump,498660340306871_498874626952109
2016-02-23T14:12:50+0000,We all know how democrats win to many want a freeride without earning it ! But yet they want to screw over veterans and elders Ssi  who earned there free ride and actually did something for the country ! Trump is the only one I want to see as our next president !! If u vote for Hiliary u are a traitor to this country !!!!,498660340306871_498880826951489
2016-02-23T02:30:11+0000,IMO posts  like this are fantastic who agrees?,498651036974468_498708476968724
2016-02-23T02:36:38+0000,I would cry with happiness!  I would celebrate when Trump wins!,498651036974468_498709483635290
2016-02-23T02:38:05+0000,I will be crying a happy cry Trump wins the President,498651036974468_498709653635273
2016-02-23T02:55:42+0000,Poor little girl ain't got a clue,498651036974468_498713033634935
2016-02-23T02:57:24+0000,They would be happy tears if she really knew him like we do! I say GOOD RIDDANCE!,498651036974468_498713236968248
2016-02-23T03:15:22+0000,He gone ! Period.!,498651036974468_498717413634497
2016-02-23T03:16:25+0000,I would cry if he were to stay any longer. Barf also.,498651036974468_498718323634406
2016-02-23T03:18:43+0000,"Man, she got a response and she didn't even ""build"" a clock.",498651036974468_498718650301040
2016-02-23T03:21:03+0000,she must be the recipient of alot of obama support ........how pathetic,498651036974468_498718876967684
2016-02-23T03:30:06+0000,🇺🇸🇺🇸🇺🇸🇺🇸TRUMP 2016!🇺🇸🇺🇸🇺🇸🇺🇸,498651036974468_498720003634238
2016-02-23T03:42:46+0000,,498651036974468_498721830300722
2016-02-23T03:51:58+0000,Oslama you suck and see ya don't won't to be ya,498651036974468_498723096967262
2016-02-23T03:52:23+0000,The fact is that they are tears of joy,498651036974468_498723153633923
2016-02-23T04:02:45+0000,,498651036974468_498724480300457
2016-02-23T04:03:25+0000,FUCK OBAMA....traitor,498651036974468_498724516967120
2016-02-23T04:49:37+0000,I'm crying because Obama is leaving office too. What the fuck is taking so long.,498651036974468_498737053632533
2016-02-23T04:53:03+0000,"Obama's gonna pay. You make turds look bad you worthless, piece of shit traitor. 3000 pounds will be lifted off my chest when Trump wins.",498651036974468_498737643632474
2016-02-23T04:59:15+0000,Stupid  bullshit.,498651036974468_498739373632301
2016-02-23T05:01:06+0000,Little girl is immediately taken to see a psychiatrist.,498651036974468_498739623632276
2016-02-23T05:38:20+0000,Please educate it children.,498651036974468_498746930298212
2016-02-23T05:46:30+0000,She's crying because of mess left by Obama.,498651036974468_498747926964779
2016-02-23T07:12:48+0000,"Over kill, get over it",498651036974468_498794550293450
2016-02-23T07:35:34+0000,"Lol I'm crying too, I'm so happy!!!",498651036974468_498797230293182
2016-02-23T10:06:33+0000,Poor kid...    Parents brainwashing their own children into thinking that is a good president,498651036974468_498820836957488
2016-02-23T11:51:12+0000,Of course it's a fucking mud duck balling cause she can't do nuffin....,498651036974468_498843243621914
2016-02-23T06:30:24+0000,Nice,498707896968782_498763706963201
2016-02-23T07:00:23+0000,anyone else  adore this  as much as i do  :\,498705983635640_498792656960306
2016-02-23T02:00:20+0000,Awesome  very informative :p,498654170307488_498703030302602
2016-02-23T02:01:09+0000,DT to DC!!!,498654170307488_498703116969260
2016-02-23T02:05:20+0000,"Yes, the pope is a socialist and even though he didn't say his name we all knew who he was talking about.",498654170307488_498703583635880
2016-02-23T02:05:59+0000,Mr Trump Don;t take no shit from no one.Awesome Job.(Y) (Y),498654170307488_498703666969205
2016-02-23T02:09:52+0000,http://theodysseyonline.com/ramapo/the-official-presidential-starter-packs/323791 cannot stop laughing...read this you will thank me later,498654170307488_498704300302475
2016-02-23T02:12:25+0000,The pope should have nothing to do with politics,498654170307488_498704696969102
2016-02-23T02:17:18+0000,Yes I do,498654170307488_498705336969038
2016-02-23T02:17:22+0000,Love Donald Trump !  Pope keep out of our business ! You live off of donations and are very secured !  Work on your perverts first !,498654170307488_498705353635703
2016-02-23T02:17:45+0000,"Pope vs Dope, Cross vs Double Cross, Vatican wall vs Mexico  Wall, Cloth vs Suit, Ump vs Trump. #TrumPutz",498654170307488_498705453635693
